PROTEIN GROUP;GENE;DISTANZA DALL'ER;Q-VALUE DALL'ER;DISTANZA DAL REPLICOMA ;Q-VALUE REPLICOMA;RISULTATO;PREDICTED LOCALIZATION IN INF (analisi con proteine virali);DISTANZA DELLE DISTANCE;DISTANZA DELLE DISTANZE 0-1;TERZILI;top 25%
Q13948;CUX1;0,619279;0,002672131;0,702324;0,003771044;Vicino all'ER;Golgi apparatus;0,083045;0,204477897;;
O95980;RECK;1,037596;0,09042563;1,120611;0,0671657;Vicino all'ER;PM;0,083015;0,204386162;;
O75367;MACROH2A1;0,7475432;0,009363549;0,8304399;0,009756461;Vicino all'ER;Nucleus;0,0828967;0,20402442;;
Q92805;GOLGA1;0,7155396;0,007229581;0,7983806;0,007867647;Vicino all'ER;Golgi apparatus;0,082841;0,203854098;;
P04921;GYPC;0,8427784;0,02043416;0,8052165;0,008212321;Vicino al REPLICOMA;PM;0,0375619;0,06539797;;
P62318;SNRPD3;0,7960158;0,01368358;0,8787763;0,01362951;Vicino all'ER;Nucleus;0,0827605;0,203607942;;
P04114;APOB;1,069486;0,110843;1,152228;0,08005232;Vicino all'ER;PM;0,082742;0,203551372;;
A0A087WVQ6;CLTC;1,613366;0,9854394;1,696088;0,8175379;Vicino all'ER;Cytoplasm;0,082722;0,203490216;;
A0A6Q8PGB0;POLR2A;0,8467368;0,02118375;0,92941;0,0196092;Vicino all'ER;Nucleus;0,0826732;0,203340993;;
O95674;CDS2;0,7282937;0,008077731;0,8108788;0,008600646;Vicino all'ER;ER;0,0825851;0,203071598;;
H0YCP6;TMEM63B;1,310709;0,3966736;1,393066;0,2863105;Vicino all'ER;PM;0,082357;0,202374105;;
Q7Z2W9;MRPL21;0,512104;0,000781671;0,5944449;0,001452785;Vicino all'ER;Mitochondria;0,0823409;0,202324874;;
A0A0G2JPA8;SERPINF2;1,033198;0,08732266;1,11548;0,0651455;Vicino all'ER;PM;0,082282;0,202144767;;
P07305;H1-0;0,8718268;0,02626087;0,8400576;0,01039347;Vicino al REPLICOMA;Nucleus;0,0317692;0,047684835;;
P12931;SRC;1,352386;0,47366;1,434599;0,3462041;Vicino all'ER;endosome-vesicle;0,082213;0,201933776;;
Q8IY95;TMEM192;0,9421632;0,04519119;1,024343;0,03780049;Vicino all'ER;Lysosome;0,0821798;0,201832256;;
Q9P035;HACD3;0,2895051;0;0,2792487;0;Vicino al REPLICOMA;ER;0,0102564;-0,018097811;;
P51610;HCFC1;0,711593;0,007065463;0,7066191;0,003874172;Vicino al REPLICOMA;Nucleus;0,0049739;-0,034250837;;
A2A2V1;PRNP;0,8753818;0,02694278;0,9572992;0,02408276;Vicino all'ER;Lysosome;0,0819174;0,20102988;;
P54289;CACNA2D1;1,152759;0,1779886;1,234583;0,1271319;Vicino all'ER;PM;0,081824;0,200744278;;
J3QRS9;ZNF207;0,8168043;0,01635258;0,8985857;0,01561758;Vicino all'ER;Nucleus;0,0817814;0,200614014;;
Q8ND24;RNF214;1,290697;0,360678;1,372382;0,2595844;Vicino all'ER;protein-complex;0,081685;0,200319238;;
P49006;MARCKSL1;1,153458;0,179048;1,234908;0,1272683;Vicino all'ER;endosome-vesicle;0,08145;0,199600646;;
P21589;NT5E;1,177521;0,203056;1,258852;0,1455324;Vicino all'ER;PM;0,081331;0,199236764;;
Q8TED0;UTP15;0,7135173;0,007098214;0,7947555;0,007706896;Vicino all'ER;Nucleus;0,0812382;0,198952996;;
A0A994J439;ITIH3;0,8663316;0,02499325;0,9474396;0,02229749;Vicino all'ER;Golgi apparatus;0,081108;0,198554866;;
E5RJC4;HGSNAT;1,11833;0,146901;1,085301;0,05474473;Vicino al REPLICOMA;ER;0,033029;0,051537098;;
Q13308;PTK7;1,043779;0,09359518;1,124425;0,06834112;Vicino all'ER;PM;0,080646;0,197142145;;
O94919;ENDOD1;1,171143;0,1961768;1,251446;0,140228;Vicino all'ER;ER;0,080303;0,196093307;;
C9JAW5;HIGD1A;0,7755386;0,01153879;0,7617277;0,006034255;Vicino al REPLICOMA;Mitochondria;0,0138109;-0,007228728;;
Q9UKU6;TRHDE;1,267763;0,3245829;1,34791;0,2315253;Vicino all'ER;PM;0,080147;0,195616284;;
P84157;MXRA7;0,5112429;0,000774457;0,5913382;0,001426829;Vicino all'ER;ER;0,0800953;0,195458194;;
Q96JC1;VPS39;1,173655;0,1991542;1,253734;0,1417082;Vicino all'ER;PM;0,080079;0,195408351;;
O00115;DNASE2;0,7462584;0,009291262;0,8262338;0,009413549;Vicino all'ER;Lysosome;0,0799754;0,195091559;;
A0A8V8TLW4;ITGAV;1,077866;0,117588;1,157769;0,08299901;Vicino all'ER;PM;0,079903;0,194870172;;
P25116;F2R;0,9002733;0,03218165;0,9801658;0,02839084;Vicino all'ER;PM;0,0798925;0,194838065;;
P52272;HNRNPM;0,6828122;0,005474968;0,7625953;0,006078431;Vicino all'ER;Nucleus;0,0797831;0,194503537;;
C9JJX6;ARVCF;1,092721;0,1277595;1,172484;0,090097;Vicino all'ER;PM;0,079763;0,194442075;;
