T: T: Genes,C: Winner MOCK,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
MRPL12,Mitochondria,-2.19108,-1.72316,-1.48652,-1.75786,-1.20893,2.15388,-2.13978,-2.06717,-5.26,-2.40171,-1.75739,-1.38006,P52815;B4DLN1,RM12_HUMAN,P52815,"39S ribosomal protein L12, mitochondrial"
MRPS18A,Mitochondria,-2.31491,-1.9316,-1.35152,-1.47396,-1.19262,1.94114,-2.24588,-2.12743,-5.17057,-2.37794,-1.77366,-1.39374,Q9NVS2;Q9NVS2-2;Q9NVS2-3;Q5QPA5,RT18A_HUMAN,Q9NVS2;Q9NVS2-2,"39S ribosomal protein S18a, mitochondrial"
DLAT,Mitochondria,-2.28721,-2.03294,-1.3224,-1.59645,-1.18416,2.0566,-2.16955,-2.14056,-5.14371,-2.36393,-1.73744,-1.40848,P10515;H0YDD4;A0A7P0T997;A0A7P0TAX2;A0A7P0TBE2;A0A7P0TBK2;A0A7P0TA47;A0A7P0TAG1;A0A7P0Z4G4;E9PEJ4,ODP2_HUMAN,P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
GK;GK2,Mitochondria,-2.25173,-1.96338,-1.27686,-1.78712,-1.03478,1.79289,-2.25341,-2.20976,-4.82698,-2.57555,-1.79021,-1.34882,Q14410;P32189;Q14409;P32189-1;P32189-2;P32189-4;A0A8I5KXY7,GLPK2_HUMAN;GLPK_HUMAN,P32189;P32189-1;P32189-2;P32189-4;Q14410,Glycerol kinase
OPA1,Mitochondria,-2.22774,-1.95138,-1.37279,-1.82213,-1.12465,2.13375,-2.40969,-2.29367,-4.89933,-2.50328,-1.7165,-1.33613,O60313;E5KLJ9;A0A2R8Y3X5;A0A2R8YE78;A0A2R8YDM2;A0A2R8YFD1;O60313-10;O60313-11;O60313-13;C9JMB8;O60313-2;O60313-9,OPA1_HUMAN,O60313;O60313-2,"Dynamin-like 120 kDa protein, mitochondrial"
SLC25A10,Mitochondria,-2.2053,-1.57589,-1.47758,-2.18842,-1.05553,2.40144,-2.32828,-2.01379,-5.0396,-2.50444,-2.2679,-1.4255,Q9UBX3;F6RGN5;Q9UBX3-2;I3L1E8;B4DLN1,DIC_HUMAN,Q9UBX3;Q9UBX3-2,Mitochondrial dicarboxylate carrier
MRPS15,Mitochondria,-2.06799,-1.18357,-1.52671,-2.42978,-1.04052,2.11376,-2.47549,-1.99971,-5.03313,-2.52531,-2.36754,-1.35919,P82914,RT15_HUMAN,P82914,"28S ribosomal protein S15, mitochondrial"
PPIF,Mitochondria,-1.89481,-1.3901,-1.8329,-2.87299,-1.00703,2.66247,-2.09374,-2.00988,-4.90077,-2.4522,-2.57559,-1.4432,P30405,PPIF_HUMAN,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
MRPS26,Mitochondria,-1.9293,-1.50735,-1.69186,-2.54921,-1.07098,2.55828,-2.03526,-2.20258,-5.10553,-2.39955,-2.29491,-1.3973,Q9BYN8,RT26_HUMAN,Q9BYN8,"28S ribosomal protein S26, mitochondrial"
SLC25A20,Mitochondria,-1.92992,-1.49855,-1.69132,-2.67223,-1.13789,2.27155,-2.26686,-1.97951,-5.07146,-2.4681,-1.7893,-1.329,O43772;C9JPE1,MCAT_HUMAN,O43772,Mitochondrial carnitine/acylcarnitine carrier protein
PRORP,Mitochondria,-2.00293,-1.62236,-1.65119,-2.71779,-1.07857,2.62815,-2.22971,-2.06443,-5.14554,-2.48673,-1.90542,-1.37534,O15091;O15091-2;O15091-3;O15091-4;A0A0A0MTQ0,MRPP3_HUMAN,O15091;O15091-2,Mitochondrial ribonuclease P catalytic subunit
IDH2,Mitochondria,-2.53496,-2.31757,-1.59979,-1.94268,-0.951083,2.2216,-2.65008,-2.1798,-4.47949,-1.83243,-2.47268,-1.52773,P48735;H0YL11,IDHP_HUMAN,P48735,"Isocitrate dehydrogenase [NADP], mitochondrial"
SLC25A31;SLC25A4;SLC25A5;SLC25A6,Mitochondria,-2.30572,-1.89375,-1.75033,-2.00993,-0.969474,2.40271,-2.77077,-2.21534,-4.24281,-2.27356,-2.4558,-1.42147,P12236;P05141;P12235;Q9H0C2;V9GYG0,ADT1_HUMAN;ADT2_HUMAN;ADT3_HUMAN;ADT4_HUMAN,P05141;P12235;P12236;Q9H0C2,ADP/ATP translocase 2
FECH,Mitochondria,-2.35922,-2.47778,-2.23258,-2.2637,-1.23063,2.29983,-2.17326,-1.93305,-4.42273,-2.47825,-2.15271,-1.4331,P22830;P22830-2;A0A499FJN5;K7ELX4,HEMH_HUMAN,P22830;P22830-2,"Ferrochelatase, mitochondrial"
MRPS36,Mitochondria,-2.22643,-2.15819,-1.50667,-2.29605,-0.933562,2.54421,-2.22131,-2.14027,-4.4707,-2.60182,-2.17294,-1.44091,P82909,KGD4_HUMAN,P82909,Alpha-ketoglutarate dehydrogenase component 4
SLC25A4;SLC25A5;SLC25A6,Mitochondria,-2.38482,-2.23309,-1.79222,-2.37493,-1.14465,2.6536,-2.56874,-2.19822,-4.33202,-2.29416,-2.27757,-1.46752,P12236;P05141;P12235;Q9H0C2;V9GYG0,ADT1_HUMAN;ADT2_HUMAN;ADT3_HUMAN,P05141;P12235;P12236,ADP/ATP translocase 2
NDUFB6,Mitochondria,-2.23751,-2.34665,-1.76441,-2.559,-1.52936,2.93419,-2.10439,-2.16674,-4.73536,-2.12573,-2.06784,-1.48192,O95139,NDUB6_HUMAN,O95139,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
MRPL4,Mitochondria,-1.83828,-2.14739,-1.8727,-3.29694,-1.09603,3.45401,-2.91567,-2.31797,-4.91682,-2.4993,-2.24286,-1.4044,Q9BYD3;Q9BYD3-2;X6RAY8;K7ES61,RM04_HUMAN,Q9BYD3,"39S ribosomal protein L4, mitochondrial"
MRPS22,Mitochondria,-1.86347,-2.26431,-1.91918,-3.42408,-1.06943,3.49689,-2.84474,-2.40724,-4.82414,-2.49223,-2.27971,-1.41243,P82650;H7C5H3;H7C5L9;G5E9W7;A0A8I5KQR7;A0A8I5KSY5;A0A8I5KX02;A0A8I5KYF1;A0A7P0MKV3,RT22_HUMAN,P82650,"28S ribosomal protein S22, mitochondrial"
MRPL16,Mitochondria,-2.15673,-2.29798,-1.6673,-2.92465,-0.994719,3.05649,-2.69323,-2.39276,-4.14623,-2.50523,-2.22911,-1.40468,Q9NX20,RM16_HUMAN,Q9NX20,"39S ribosomal protein L16, mitochondrial"
TRMT10C,Mitochondria,-2.00214,-2.12021,-1.58244,-2.88693,-1.07,3.23638,-2.53471,-2.314,-4.59415,-2.57409,-2.22093,-1.41091,Q7L0Y3,TM10C_HUMAN,Q7L0Y3,tRNA methyltransferase 10 homolog C
MRPL3,Mitochondria,-2.13811,-2.29382,-1.56028,-2.51082,-1.09564,3.05194,-2.61395,-2.28519,-4.60701,-2.48335,-2.24831,-1.4561,P09001;E7ETU7;H0Y9G6;E9PF06,RM03_HUMAN,P09001,"39S ribosomal protein L3, mitochondrial"
ATAD3B,Mitochondria,-1.9209,-2.37099,-1.80978,-2.98155,-1.25196,3.19411,-2.77341,-2.39311,-5.1568,-2.35813,-1.64328,-1.38854,Q5T9A4;A0A5K1VW56,ATD3B_HUMAN,Q5T9A4,ATPase family AAA domain-containing protein 3B
MRPL17,Mitochondria,-1.94628,-2.55976,-1.6612,-2.79995,-1.26012,2.86612,-2.83107,-2.47094,-4.82099,-2.34426,-1.53827,-1.3796,Q9NRX2;E9PKV2,RM17_HUMAN,Q9NRX2,"39S ribosomal protein L17, mitochondrial"
MRPS25,Mitochondria,-2.0681,-2.43113,-1.75334,-2.9087,-1.16705,3.26192,-2.93859,-2.43803,-4.84543,-2.32182,-1.89419,-1.40541,P82663,RT25_HUMAN,P82663,"28S ribosomal protein S25, mitochondrial"
ALDH4A1,Mitochondria,-2.12958,-2.44607,-1.64206,-2.74415,-1.29262,3.40729,-2.84148,-2.35451,-4.74705,-2.25065,-2.02168,-1.42664,P30038;P30038-2;P30038-3,AL4A1_HUMAN,P30038,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"
PNPT1,Mitochondria,-2.09316,-2.28649,-1.64323,-2.57662,-1.11755,3.07587,-2.82978,-2.36048,-4.9371,-2.45598,-1.83846,-1.38774,Q8TCS8,PNPT1_HUMAN,Q8TCS8,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial"
DARS2,Mitochondria,-2.10182,-2.48565,-1.6954,-2.75539,-1.14208,3.15137,-2.88624,-2.4143,-4.85863,-2.37736,-1.92407,-1.42149,Q6PI48;A0A3B3ISK7;A0A3B3IT01;A0A3B3IS01,SYDM_HUMAN,Q6PI48,"Aspartate--tRNA ligase, mitochondrial"
PDHX,Mitochondria,-2.04855,-2.40412,-1.63567,-2.69288,-1.15539,3.09429,-2.78392,-2.38144,-4.95596,-2.42428,-1.93531,-1.42061,O00330;H0YD97;O00330-2;O00330-3;A0A8C8MSB2,ODPX_HUMAN,O00330-3,"Isoform of O00330, Isoform 3 of Pyruvate dehydrogenase protein X component, mitochondrial"
MRPL47,Mitochondria,-2.144,-2.29339,-1.47163,-2.00377,-1.31197,2.58602,-2.74142,-2.38657,-4.70771,-2.33396,-1.5695,-1.2907,Q9HD33;Q9HD33-2;Q9HD33-3,RM47_HUMAN,Q9HD33;Q9HD33-2,"39S ribosomal protein L47, mitochondrial"
TSFM,Mitochondria,-2.191,-2.28438,-1.38414,-2.02488,-1.12955,2.36152,-2.57373,-2.32759,-4.51843,-2.52354,-1.69836,-1.31977,P43897;P43897-2,EFTS_HUMAN,P43897,"Elongation factor Ts, mitochondrial"
MRPL50,Mitochondria,-2.00293,-2.24856,-1.62641,-2.24981,-1.2831,2.60354,-2.50412,-2.19004,-5.44869,-2.36381,-1.49387,-1.38927,Q8N5N7,RM50_HUMAN,Q8N5N7,"39S ribosomal protein L50, mitochondrial"
MRPL27,Mitochondria,-2.0835,-2.17417,-1.62912,-2.29203,-1.21214,2.76785,-2.57778,-2.22975,-5.3383,-2.4064,-1.53261,-1.38736,Q9P0M9;D6RAN8,RM27_HUMAN,Q9P0M9,"39S ribosomal protein L27, mitochondrial"
ATAD3A;ATAD3B,Mitochondria,-2.03353,-2.02448,-1.63637,-2.31335,-1.25829,2.8853,-2.5399,-2.26127,-5.33168,-2.37386,-1.5828,-1.37632,Q9NVI7;Q5T9A4;Q9NVI7-2;Q9NVI7-3;Q5T9A4-2;Q5T9A4-3;A0A5K1VW56,ATD3A_HUMAN;ATD3B_HUMAN,Q5T9A4;Q5T9A4-2;Q9NVI7-2,ATPase family AAA domain-containing protein 3B
MRPS9,Mitochondria,-2.18496,-2.30022,-1.54846,-2.19309,-1.22624,2.86733,-2.74497,-2.29512,-5.19634,-2.3114,-1.75183,-1.42226,P82933;H7BZC4,RT09_HUMAN,P82933,"28S ribosomal protein S9, mitochondrial"
TUFM,Mitochondria,-2.23158,-2.32388,-1.63159,-2.14777,-1.11574,2.64593,-2.92343,-2.27537,-5.10294,-2.36484,-1.95677,-1.42674,P49411,EFTU_HUMAN,P49411,"Elongation factor Tu, mitochondrial"
PYCR1;PYCR2,Mitochondria,-2.20856,-2.38879,-1.65267,-2.28583,-1.15125,2.73701,-2.97565,-2.3652,-5.04421,-2.2958,-1.91756,-1.42223,P32322;Q96C36;P32322-2;P32322-3;E2QRB3;J3QKT4;A0A087WTV6;J3KR12,P5CR1_HUMAN;P5CR2_HUMAN,P32322;Q96C36,"Pyrroline-5-carboxylate reductase 1, mitochondrial"
MRPL23,Mitochondria,-2.21127,-2.46868,-1.5006,-1.96503,-1.25291,2.55331,-2.83333,-2.32939,-5.10671,-2.2629,-1.49421,-1.39625,Q16540;A8MVT4;A8MYK1;A6NJD9;H7C2P7,RM23_HUMAN,Q16540,"39S ribosomal protein L23, mitochondrial"
MRPL41,Mitochondria,-2.06805,-2.54392,-1.53058,-2.34146,-1.31122,2.69358,-2.6539,-2.36834,-5.18934,-2.25953,-1.4148,-1.41273,Q8IXM3,RM41_HUMAN,Q8IXM3,"39S ribosomal protein L41, mitochondrial"
ME2,Mitochondria,-2.04151,-2.50746,-1.68751,-2.30504,-1.21355,2.48021,-2.73636,-2.32977,-5.2226,-2.32869,-1.65021,-1.40952,P23368;A0A1W2PPY2;A0A1W2PQ37;A0A1W2PPH1;A0A1W2PQY8;P23368-2;A0A1W2PQT3;A0A1W2PR68;A0A1W2PQH3;A0A1W2PQH4;A0A1W2PQF8;A0A1W2PRS2;A0A1W2PRY9,MAOM_HUMAN,P23368,"NAD-dependent malic enzyme, mitochondrial"
PDHA1;PDHA2,Mitochondria,-2.11352,-2.59063,-1.52396,-2.34477,-1.21608,2.47615,-2.54522,-2.37444,-5.04112,-2.23385,-1.77115,-1.44425,P08559;P29803;P08559-2;P08559-3;P08559-4;Q5JPU2,ODPAT_HUMAN;ODPA_HUMAN,P08559;P08559-2;P08559-4;P29803,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"
MTX1,Mitochondria,-2.02596,-1.91983,-1.8339,-2.5106,-0.959544,2.45612,-2.67068,-2.25385,-4.98403,-2.39866,-2.50215,-1.30356,Q13505;Q13505-3,MTX1_HUMAN,Q13505;Q13505-3,Metaxin-1
NDUFV1,Mitochondria,-2.0145,-1.92056,-1.67783,-2.35583,-1.18873,2.49801,-2.32451,-2.43316,-5.16373,-2.39268,-1.99766,-1.38997,P49821;P49821-2;B4DE93;G3V0I5;E9PPD6;E9PPR0;E9PQP1;E9PMX3;E9PLC6;E9PJL9,NDUV1_HUMAN,P49821;P49821-2,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
MRPL44,Mitochondria,-2.19821,-2.00681,-1.57886,-2.18229,-1.11367,2.83801,-2.78425,-2.23515,-5.01598,-2.41884,-2.03627,-1.40288,Q9H9J2,RM44_HUMAN,Q9H9J2,"39S ribosomal protein L44, mitochondrial"
MRPL55,Mitochondria,-2.21366,-1.90134,-1.54496,-2.30053,-1.02992,2.79628,-2.67455,-2.20943,-4.91374,-2.4958,-2.23319,-1.41592,Q7Z7F7;Q7Z7F7-2,RM55_HUMAN,Q7Z7F7;Q7Z7F7-2,"39S ribosomal protein L55, mitochondrial"
MRPS21,Mitochondria,-2.1234,-2.04226,-1.59414,-2.33692,-1.15598,2.86778,-2.62474,-2.20387,-5.27955,-2.4254,-1.90971,-1.41446,P82921,RT21_HUMAN,P82921,"28S ribosomal protein S21, mitochondrial"
MRPL46,Mitochondria,-2.13741,-1.86254,-1.56779,-2.42909,-1.08289,2.81303,-2.47099,-2.12115,-5.19467,-2.46705,-2.22986,-1.43658,Q9H2W6,RM46_HUMAN,Q9H2W6,"39S ribosomal protein L46, mitochondrial"
ATAD3A;ATAD3B,Mitochondria,-2.09257,-1.9805,-1.67625,-2.49364,-1.13197,3.04803,-2.85294,-2.33694,-5.07072,-2.35959,-2.06774,-1.39876,Q9NVI7;Q5T9A4;Q9NVI7-2;H0Y2W2;A0A5K1VW56,ATD3A_HUMAN;ATD3B_HUMAN,Q5T9A4;Q9NVI7-2,ATPase family AAA domain-containing protein 3B
PCCB,Mitochondria,-2.13084,-2.19327,-1.68848,-2.61107,-1.06369,3.03926,-2.73232,-2.32547,-4.9518,-2.47699,-2.21678,-1.43226,P05166;E7EX59;E7ETT1;E7ETT4;E7EUY3;F8WBI9;P05166-2;E9PDR0;E9PEC3,PCCB_HUMAN,P05166;P05166-2,"Propionyl-CoA carboxylase beta chain, mitochondrial"
ETFB,Mitochondria,-2.52841,-2.54472,-1.68721,-1.92048,-1.20989,2.41111,-2.99763,-2.30177,-4.2321,-2.12335,-2.04896,-1.42184,P38117;P38117-2;M0QY67,ETFB_HUMAN,P38117;P38117-2,Electron transfer flavoprotein subunit beta
MRPL15,Mitochondria,-2.27645,-2.09617,-1.56862,-2.10219,-0.998856,2.60736,-3.02951,-2.23212,-4.64275,-2.41453,-2.41615,-1.4329,Q9P015;E5RIZ4,RM15_HUMAN,Q9P015,"39S ribosomal protein L15, mitochondrial"
HDHD5,Mitochondria,-2.32149,-2.46064,-1.66675,-2.2218,-1.09362,2.52047,-3.25912,-2.46824,-4.27858,-2.24119,-2.21027,-1.41511,Q9BXW7;Q9BXW7-2,HDHD5_HUMAN,Q9BXW7,Haloacid dehalogenase-like hydrolase domain-containing 5
DLST,Mitochondria,-2.29791,-2.31852,-1.60564,-2.30374,-1.05009,2.74907,-3.08636,-2.33678,-4.32748,-2.34513,-2.28365,-1.42711,P36957;P36957-2,ODO2_HUMAN,P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"
SHMT2,Mitochondria,-2.36426,-2.35679,-1.66419,-2.21147,-1.07427,2.77028,-3.12196,-2.34307,-4.44092,-2.2291,-2.24426,-1.44044,P34897;G3V540;G3V4T0;G3V4W5;G3V4X0;G3V5L0;G3V3Y8;G3V2W0;G3V241;G3V2E4;P34897-2;P34897-3,GLYM_HUMAN,P34897-3,"Isoform of P34897, Isoform 3 of Serine hydroxymethyltransferase, mitochondrial"
NFU1,Mitochondria,-2.20516,-2.61406,-1.51522,-2.38172,-1.35037,2.93401,-3.0126,-2.42108,-4.81207,-2.06966,-1.81343,-1.43965,Q9UMS0;Q9UMS0-3,NFU1_HUMAN,Q9UMS0;Q9UMS0-3,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
PCK2,Mitochondria,-2.28366,-2.43456,-1.65653,-2.22409,-1.14076,2.84166,-3.02068,-2.33613,-4.74686,-2.32541,-1.94366,-1.41158,Q16822;Q16822-2;H0YM31,PCKGM_HUMAN,Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial"
PYCR1,Mitochondria,-2.30174,-2.41662,-1.65714,-2.20872,-1.18031,2.67665,-3.01603,-2.3962,-4.84065,-2.14475,-1.87677,-1.42099,P32322;P32322-3;E2QRB3,P5CR1_HUMAN,P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial"
ATP5F1B,Mitochondria,-2.32875,-2.49824,-1.59557,-2.06946,-1.12719,2.62305,-3.10295,-2.34051,-4.64567,-2.28924,-1.95674,-1.42061,P06576;H0YH81;F8W079,ATPB_HUMAN,P06576,"ATP synthase subunit beta, mitochondrial"
PITRM1,Mitochondria,-2.32906,-2.53434,-1.6134,-2.36448,-1.14731,2.80938,-2.97797,-2.38973,-4.45181,-2.21568,-1.94914,-1.41505,Q5JRX3;Q5JRX3-2;Q5JRX3-3;B4DEU0;H0Y4F7;A0A7I2YQT2;A0A7I2YQX5;A0A7I2V397;A0A7I2V3B6;A0A7I2V449;A0A7I2V3X0;A0A7I2V5C6;A0A7I2V5H2;A0A7I2V5K2;A0A7I2V5R2,PREP_HUMAN,Q5JRX3;Q5JRX3-2,"Presequence protease, mitochondrial"
TIMM44,Mitochondria,-2.18027,-2.37363,-1.5433,-2.39273,-1.11037,2.63309,-2.91541,-2.4154,-4.52276,-2.3823,-1.91251,-1.38448,O43615;M0QXU7,TIM44_HUMAN,O43615,Mitochondrial import inner membrane translocase subunit TIM44
MRPL13,Mitochondria,-2.03838,-2.68206,-1.76188,-2.75304,-1.28949,2.74757,-2.94389,-2.43555,-4.7291,-2.11109,-1.95667,-1.42605,Q9BYD1;E5RJI7,RM13_HUMAN,Q9BYD1,"39S ribosomal protein L13, mitochondrial"
GRPEL1,Mitochondria,-2.16992,-2.80662,-1.81089,-2.48258,-1.24662,2.38723,-2.82683,-2.47377,-4.61941,-2.07603,-2.02137,-1.44519,Q9HAV7,GRPE1_HUMAN,Q9HAV7,"GrpE protein homolog 1, mitochondrial"
IDH3A,Mitochondria,-2.16985,-2.70138,-1.80934,-2.56695,-1.38182,2.43124,-2.94099,-2.50903,-4.60414,-2.03372,-1.91092,-1.41685,P50213;H0YMU3;H0YM64;H0YLI6;H0YL72;H0YKD0,IDH3A_HUMAN,P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial"
ACO2,Mitochondria,-2.43984,-2.71285,-1.70361,-2.51907,-1.30561,2.68995,-2.86158,-2.37869,-4.26193,-2.08914,-1.8693,-1.43799,Q99798;A2A274;A0A7I2V3C8;A0A7I2V3F1;A0A7I2V3U0;A0A7I2V4I8;A0A7I2V538;A0A7I2V586;A0A7I2V5A1;A0A7I2V614;A0A7I2V5W7;A0A7I2V5T4;A0A7I2V6A6,ACON_HUMAN,Q99798,"Aconitate hydratase, mitochondrial"
ACAA2,Mitochondria,-2.39499,-2.56339,-1.72509,-2.60588,-1.16284,2.92035,-2.87483,-2.34911,-4.28554,-2.16482,-2.13523,-1.46231,P42765;A0A0B4J2A4;K7EME0,THIM_HUMAN,P42765,"3-ketoacyl-CoA thiolase, mitochondrial"
IVD,Mitochondria,-2.21084,-2.64168,-1.79469,-2.80308,-1.26264,2.97224,-2.97603,-2.45273,-4.48292,-2.2465,-1.94725,-1.41434,P26440;A0A0S2Z4K7;P26440-2;H0YLC3;H0YKV0;A0A0A0MT83;H7C4G6,IVD_HUMAN,P26440,"Isovaleryl-CoA dehydrogenase, mitochondrial"
NDUFS8,Mitochondria,-2.26607,-2.55646,-1.74773,-2.60672,-1.11468,2.97789,-3.14652,-2.41069,-4.52054,-2.19483,-2.13263,-1.44468,O00217;F8W9K7;E9PPW7;E9PN51,NDUS8_HUMAN,O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"
PDE12,Cytoplasm,-1.45685,-1.82003,-2.14191,-2.19078,0.442834,0.311088,-1.60076,-2.67393,-3.2914,-2.06075,-1.96092,-1.40275,Q6L8Q7;Q6L8Q7-2;F6T1Q0,PDE12_HUMAN,Q6L8Q7;Q6L8Q7-2,"2',5'-phosphodiesterase 12"
DUT,Mitochondria,-1.3616,-1.69887,-2.21953,-2.31145,-0.0948725,0.233735,-2.03245,-2.29844,-3.2767,-2.11894,-1.9633,-1.46801,P33316;H0YNW5;H0YMM5;H0YMP1;H0YNJ9;H0YKI0;H0YKC5;P33316-2;A0A0C4DGL3,DUT_HUMAN,P33316;P33316-2,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
MPST,Cytoplasm,-1.44933,-1.20382,-2.05389,-2.24654,0.546915,-0.139435,-2.02754,-2.66129,-3.32209,-2.06235,-1.96529,-1.11959,P25325;B1AH49;P25325-2,THTM_HUMAN,P25325-2,"Isoform of P25325, Isoform 2 of 3-mercaptopyruvate sulfurtransferase"
GUK1,Cytoplasm,-1.82291,-1.20438,-1.77573,-2.10249,0.83666,-0.45257,-2.37579,-2.31595,-3.21467,-2.09656,-2.13557,-1.50703,Q16774;Q16774-2;Q16774-3;B1ANG9;B1ANH0;B1ANH2;B1ANH3;B1ANH5;B1ANH6,KGUA_HUMAN,Q16774,Guanylate kinase
TXNRD2,Cytoplasm,-1.86911,-1.55022,-1.70586,-1.03666,0.865328,-0.528337,-1.55641,-2.21967,-2.88289,-2.05406,-1.43818,-1.55064,Q9NNW7;A0A0U1RQX0;A0A096LPB7;A0A096LPH4;A0A096LP96;A0A182DWF2;A0A182DWF3;D3YTF8;Q9NNW7-2;Q9NNW7-3;Q9NNW7-4,TRXR2_HUMAN,Q9NNW7;Q9NNW7-2,"Thioredoxin reductase 2, mitochondrial"
DTYMK,Cytoplasm,-1.98711,-0.910817,-2.04802,-1.42235,0.955997,-1.13334,-1.5865,-1.82876,-2.9908,-2.03885,-2.11855,-1.4833,P23919;H7BZ20;P23919-2,KTHY_HUMAN,P23919,Thymidylate kinase
TRNT1,Cytoplasm,-2.07102,-1.64558,-2.04759,-1.65025,1.21082,-0.653256,-1.56283,-2.22292,-3.2246,-2.10038,-1.86598,-1.30343,Q96Q11;Q96Q11-2;A0A8V8TM71,TRNT1_HUMAN,Q96Q11;Q96Q11-2,"CCA tRNA nucleotidyltransferase 1, mitochondrial"
REXO2,Cytoplasm,-1.84197,-1.57273,-1.94076,-1.70135,1.04256,-1.1497,-2.11557,-1.91503,-3.03638,-2.12207,-1.90533,-1.51188,Q9Y3B8;H0YGR4;H0YG54;Q9Y3B8-2;Q9Y3B8-3;F5GYG5,ORN_HUMAN,Q9Y3B8;Q9Y3B8-3,"Oligoribonuclease, mitochondrial"
REXO2,Cytoplasm,-1.92765,-1.70274,-1.95553,-1.48063,1.11599,-0.987543,-1.83361,-1.99218,-2.99388,-2.09737,-2.01633,-1.51836,Q9Y3B8;Q9BTR4;F5GYG5;F5H6P8;F5H784;F5H7P1,ORN_HUMAN,Q9Y3B8,"Oligoribonuclease, mitochondrial"
TXNRD1;TXNRD2,Cytoplasm,-1.6796,-1.0884,-1.46032,-1.39372,1.43566,-1.94398,-1.881,-2.18744,-2.80184,-2.09373,-2.00845,-1.568,Q9NNW7;Q16881;E7EWK1;A0A096LPD9;A0A096LPK7;A0A182DWF2;A0A182DWF3;A0A182DWI3;E9PLT3;E9PIZ5;E9PIR7;E9PKD3;E9PKI4;D3YTF8;A0A0B4J225;Q9NNW7-2;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6;Q16881-7,TRXR1_HUMAN;TRXR2_HUMAN,Q16881-4;Q9NNW7;Q9NNW7-2,"Isoform of Q16881, Isoform 4 of Thioredoxin reductase 1, cytoplasmic"
XPNPEP3,Cytoplasm,-1.91876,-1.85368,-2.19291,-1.87739,1.80018,-1.77076,-1.26804,-2.44575,-2.98084,-2.06792,-2.10404,-1.52727,Q9NQH7;Q9NQH7-2;Q9NQH7-3;Q9NQH7-4;Q9NQH7-5,XPP3_HUMAN,Q9NQH7;Q9NQH7-4,Xaa-Pro aminopeptidase 3
GTPBP6,Cytoplasm,-1.3489,-0.926615,-2.14386,-1.88034,0.764493,-1.66148,-0.813998,-2.19275,-2.98284,-1.97817,-1.97998,-1.63464,O43824,GTPB6_HUMAN,O43824,Putative GTP-binding protein 6
NNT,ER,-1.62358,-2.42557,-2.37449,0.11533,-1.20076,-0.581753,-0.583205,-2.47824,-3.42221,-2.10653,-1.81375,-1.62657,Q13423;D6RAI5;A0A590UK29;A0A590UJI3;A0A590UJM2;E9PCX7,NNTM_HUMAN,Q13423,"NAD(P) transhydrogenase, mitochondrial"
SLC25A11,Nucleus,-2.38813,-1.25515,-1.46095,-0.310687,-1.68327,-1.41504,0.219581,-1.79594,-4.60939,-2.31222,-1.91565,-1.3325,Q02978;Q02978-2;I3L1P8,M2OM_HUMAN,Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein
PC,Mitochondria,-1.15738,-2.5196,-2.9731,-1.67864,-1.49306,0.495223,-0.834085,-0.672554,-3.53084,-2.36524,-1.37801,-1.61074,P11498,PYC_HUMAN,P11498,"Pyruvate carboxylase, mitochondrial"
GTPBP10,Mitochondria,0.0932829,-2.34379,-2.09119,-1.76079,-1.41759,0.583448,-1.60913,-1.32439,-3.62425,-2.57939,-1.04467,-1.41847,A4D1E9;A4D1E9-2,GTPBA_HUMAN,A4D1E9,GTP-binding protein 10
FAM98B,Translation,-1.51831,-1.44387,-2.75278,-2.58897,-0.341204,-1.97184,-1.65531,0.267877,-3.11287,-2.16396,-1.63194,-1.55778,Q52LJ0;Q52LJ0-1,FA98B_HUMAN,Q52LJ0,Protein FAM98B
