T: T: Genes,C: Winner MOCK,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
TCF25,Translation,-1.55345,-2.21929,-3.34541,-1.59605,-1.16727,-1.59543,-1.07726,0.934761,-3.59305,-1.88916,-1.07465,-1.64176,Q9BQ70;H3BTU3;H3BSP8;H3BS87;H3BMJ8;Q9H7D3,TCF25_HUMAN,Q9BQ70,Transcription factor 25
ABCF1,Translation,-1.58553,-1.97835,-3.45544,-1.90206,-1.26378,-1.77405,-1.24261,1.22507,-3.41534,-1.95102,-1.00972,-1.73759,Q8NE71;H0YGW7;Q8NE71-2;Q5STZ8,ABCF1_HUMAN,Q8NE71,ATP-binding cassette sub-family F member 1
XRN1,Translation,-1.54574,-2.18888,-3.76303,-2.01631,-1.19104,-1.84212,-1.29883,1.2865,-3.46121,-1.95012,-0.990778,-1.64975,Q8IZH2;H7C5E4;Q8IZH2-2,XRN1_HUMAN,Q8IZH2-2,"Isoform of Q8IZH2, Isoform 2 of 5'-3' exoribonuclease 1"
RPLP2,Translation,-1.42777,-2.10986,-3.54572,-2.02655,-1.62755,-1.45224,-0.882786,1.76768,-3.53651,-2.20349,-1.31619,-1.5283,P05387,RLA2_HUMAN,P05387,60S acidic ribosomal protein P2
RPLP1;RPLP2,Translation,-1.66712,-1.85503,-3.5518,-2.27302,-1.42313,-1.65415,-0.98663,1.52097,-3.49056,-2.03722,-1.23188,-1.64076,P05386;P05387;P05386-2;H0YDD8,RLA1_HUMAN;RLA2_HUMAN,P05386;P05387,60S acidic ribosomal protein P1
RBM3,Translation,-1.19758,-1.49193,-3.70247,-2.06506,-1.2758,-1.91073,-1.41217,1.63559,-3.25932,-2.02916,-1.25369,-1.81978,P98179,RBM3_HUMAN,P98179,RNA-binding protein 3
EIF3I,Translation,-1.10863,-1.43386,-4.20212,-1.85145,-1.41393,-2.03385,-1.28237,0.822922,-3.47914,-2.07794,-1.08441,-1.64854,Q13347;A0A7P0MRT9;Q5TFK1;A0A7I2YQF8;A0A7I2YQN1;A0A7I2YQI2;A0A7I2YQI6;A0A7I2YQU2;A0A7I2YQP9;A0A7I2YQX4;A0A7I2V2M3;A0A7I2V391;A0A7I2V3K6;A0A7I2V3N2;A0A7I2V3T4;A0A7I2V3U3;A0A7I2V4C2;A0A7I2V4S8;A0A7I2V5E4;A0A7I2V607;A0A7I2V613;A0A7I2V5V8;A0A7I2V685;A0A7I2V640,EIF3I_HUMAN,Q13347,Eukaryotic translation initiation factor 3 subunit I
LSM14B,Translation,-1.10268,-1.71925,-4.14479,-1.87445,-1.64223,-1.82534,-1.35624,1.21959,-3.49706,-2.10842,-0.920146,-1.56114,Q9BX40;Q5TBP9;Q5TBQ0;Q5TBQ1;Q9BX40-3,LS14B_HUMAN,Q9BX40;Q9BX40-3,Protein LSM14 homolog B
EIF3K,Translation,-1.19232,-1.50106,-4.13061,-1.81744,-1.59097,-1.87926,-1.23911,1.32352,-3.54944,-2.15298,-1.07816,-1.59303,Q9UBQ5;K7ES31;K7ERF1;Q9UBQ5-2,EIF3K_HUMAN,Q9UBQ5,Eukaryotic translation initiation factor 3 subunit K
EIF3C,Translation,-1.42267,-1.59875,-3.84153,-2.13246,-1.34583,-1.49207,-1.18761,0.84732,-3.51599,-2.11065,-1.0737,-1.61893,Q99613;B5ME19;Q99613-2;H3BPE3,EIF3C_HUMAN,Q99613;Q99613-2,Eukaryotic translation initiation factor 3 subunit C
LARP1,Translation,-1.03284,-0.915716,-3.9057,-1.61702,-1.75291,-1.63363,-1.34904,0.900152,-3.43306,-2.3261,-1.02676,-1.48041,Q6PKG0;A0A8I5KSP1;A0A8I5KWU3;Q6PKG0-3,LARP1_HUMAN,Q6PKG0,La-related protein 1
EIF2B5,Translation,-0.95763,-1.22113,-3.83769,-2.00498,-1.6098,-1.45798,-1.27268,1.05096,-3.36936,-2.16666,-1.02808,-1.73869,Q13144;A0A3B3IUB1,EI2BE_HUMAN,Q13144,Translation initiation factor eIF-2B subunit epsilon
LARP1;LARP1B,Translation,-1.33035,-1.23596,-3.82604,-1.91237,-1.71155,-1.88532,-1.32963,1.16336,-3.43594,-2.10297,-1.01202,-1.66152,Q6PKG0;Q659C4;Q659C4-2;Q659C4-5;Q659C4-6;Q659C4-7;A0A3B3ISF0;A0A8I5KSP1;A0A8I5KWU3;Q6PKG0-3,LAR1B_HUMAN;LARP1_HUMAN,Q659C4;Q659C4-5;Q6PKG0,La-related protein 1B
EIF2B3,Translation,-1.13985,-1.10492,-3.71294,-1.84834,-1.4038,-1.8559,-1.37624,0.886097,-3.35194,-2.15644,-1.12518,-1.67641,Q9NR50;Q9NR50-2;Q9NR50-3;H0Y580,EI2BG_HUMAN,Q9NR50,Translation initiation factor eIF-2B subunit gamma
EIF2B2,Translation,-1.00508,-0.970303,-3.70938,-1.87281,-1.41207,-1.72049,-1.37572,0.76744,-3.30567,-2.16251,-1.12459,-1.7113,P49770;H0YJJ8;G3V5E5,EI2BB_HUMAN,P49770,Translation initiation factor eIF-2B subunit beta
BZW1,Translation,-1.05358,-1.24742,-3.65937,-2.06824,-1.34623,-1.73964,-1.38643,1.20539,-3.2835,-2.09735,-1.14071,-1.82551,Q7L1Q6;C9IZ80;Q7L1Q6-2;Q7L1Q6-3;Q7L1Q6-4,5MP2_HUMAN,Q7L1Q6;Q7L1Q6-3;Q7L1Q6-4,eIF5-mimic protein 2
EIF5B,Translation,-1.3949,-1.35087,-3.60461,-2.04013,-1.41951,-1.81827,-1.33048,0.968875,-3.33008,-2.02204,-1.03431,-1.79602,O60841;A0A087WUT6,IF2P_HUMAN,O60841,Eukaryotic translation initiation factor 5B
EIF3G,Translation,-1.32096,-1.88533,-4.24391,-2.05245,-1.45705,-1.91504,-1.17473,1.65967,-3.5601,-2.10251,-1.119,-1.53863,O75821;K7EL20;K7ENA8;K7EP16;K7ER90,EIF3G_HUMAN,O75821,Eukaryotic translation initiation factor 3 subunit G
EIF3H,Translation,-1.34281,-2.25646,-4.32481,-2.12066,-1.27107,-2.03281,-1.22063,2.08305,-3.56102,-2.06684,-1.17131,-1.62313,O15372;B3KS98;E5RJT0,EIF3H_HUMAN,O15372,Eukaryotic translation initiation factor 3 subunit H
SKIC8,Translation,-0.948846,-1.69502,-4.11914,-0.910439,-2.04091,-1.56444,-1.40733,1.27675,-3.80882,-2.50883,-0.998353,-1.36364,Q9GZS3;H0YN81;H0YMF9;H0YL19;H3BQA8,SKI8_HUMAN,Q9GZS3,SKI8 subunit of superkiller complex protein
SMN2,Translation,-1.36372,-2.06459,-4.80355,-1.39697,-1.65621,-2.36721,-1.26551,1.80091,-3.87839,-2.17272,-1.37354,-1.21588,Q16637;E7EQZ4;H0YBZ9;B4DP61;A0A1W2PRV5;A0A0G2JRX5;A0A0G2JRY6;Q16637-3;Q16637-4;Q16637-2,SMN_HUMAN,Q16637;Q16637-3,Survival motor neuron protein
EIF3M,Translation,-1.0442,-2.043,-4.30667,-1.31271,-1.96216,-1.87685,-1.30402,1.6529,-3.85623,-2.41763,-1.09259,-1.15768,Q7L2H7;J3KNJ2;E9PN86,EIF3M_HUMAN,Q7L2H7,Eukaryotic translation initiation factor 3 subunit M
EIF3L,Translation,-1.10144,-2.1038,-4.31103,-1.19538,-2.00622,-1.80945,-1.2951,1.79155,-3.78186,-2.3366,-1.08872,-1.33827,Q9Y262;B0QY89;B0QY90;H0Y7E6;Q9Y262-2,EIF3L_HUMAN,Q9Y262,Eukaryotic translation initiation factor 3 subunit L
EIF2S2,Translation,-1.10853,-1.77628,-4.59998,-1.3939,-1.94476,-2.08211,-1.25128,1.58984,-3.82686,-2.30322,-1.0834,-1.27644,P20042,IF2B_HUMAN,P20042,Eukaryotic translation initiation factor 2 subunit 2
EIF2S3;EIF2S3B,Translation,-1.07171,-1.54623,-4.5776,-1.17249,-2.0447,-2.05391,-1.30576,1.33742,-3.81664,-2.3456,-1.08269,-1.31068,Q2VIR3;P41091;Q2VIR3-2,IF2GL_HUMAN;IF2G_HUMAN,P41091;Q2VIR3-2,Eukaryotic translation initiation factor 2 subunit 3
EIF2S1,Translation,-1.03771,-1.57168,-4.72878,-1.1071,-2.00582,-2.11055,-1.22642,1.24528,-3.77969,-2.30732,-1.06559,-1.33678,P05198;H0YJS4;G3V4T5,IF2A_HUMAN,P05198,Eukaryotic translation initiation factor 2 subunit 1
EIF3E,Translation,-1.20606,-1.57044,-4.4662,-1.59059,-1.7411,-2.00064,-1.30145,1.37951,-3.73553,-2.23148,-1.11265,-1.41776,P60228;B3KW56;E5RGA2;E5RHS5;A0A7I2V2H9;A0A7I2V2W0;A0A7I2V3I0;A0A7I2V3I2;A0A7I2V3S3;A0A7I2V4B4;A0A7I2V5P9;A0A7I2V5Z6,EIF3E_HUMAN,P60228,Eukaryotic translation initiation factor 3 subunit E
EIF2S3,Translation,-1.11258,-1.65299,-4.75776,-1.76638,-1.70864,-2.0624,-1.35385,1.27303,-3.75318,-2.21357,-0.986999,-1.46043,P41091,IF2G_HUMAN,P41091,Eukaryotic translation initiation factor 2 subunit 3
