WELL NAME;INFECTION 1;INFECTION 2;INFECTION 3;INFECTION 4;REINFECTION 1;REINFECTION 2;REINFECTION 3;REINFECTION 4;REINFECTION 5;REINFECTION 6
D2- DHFR;1,6;1,11;0,86;1,29;2,33;1,63;1,69;0,89;0,38;1,76
D3- DSP;1,56;1,15;1,11;0,99;1,69;1,28;1,45;0,33;0,54;1,12
D4- NUP188;0,83;1,01;0,57;0,54;0,55;0,2;0,51;0,74;0,98;0,36
D5- MYLK2;1,25;0,54;0,91;1,28;1,08;0,12;1,09;0,78;1;0,72
D6- OSBPL3;2,03;1,28;1,32;1,54;0,95;0,91;1,46;1,34;1,58;1,86
D7- S100A16;1,6;0,9;0,87;1,22;1,26;0,4;0,71;1,5;0,71;2,38
D8- NAPA;0,29;0,06;0,15;0,15;0,05;0,08;0,01;0;0;0,01
D9- CYB5A;1,6;1,15;1,28;1,18;1,03;0,77;1,4;0,05;0,1;1,33
D10- ADA;1,01;0,34;0,55;0,81;0,14;0,04;0,4;0,09;0,08;0,33
D11- B4GALT1;1,61;1,13;1,3;1,55;1,75;0,07;1,16;0,44;0,11;0,37
D12- NT (esterno);1,04;0,72;1,23;1,36;0,6;1,08;0,94;0,3;0,51;0,42
E1- NT (esterno);1,35;0,92;0,95;0,99;0,84;1,28;1,07;1,89;2,03;0,44
E2- CSNK2B;0,93;0,62;0,65;0,97;0,69;0,21;0,8;0,28;0,21;0,14
E3- VCAM1;0,9;0,32;0,46;1,08;1,17;0,23;0,87;0,48;0,47;1,74
E4- CASK;1,6;1,09;0,99;1,47;0,49;0,21;1,23;1,54;1,72;1,93
E5- AP5Z1;1,01;0,31;0,39;0,41;0,17;0,03;0,42;0,04;0,01;0,08
E6- NUMBL;0,38;0,22;0,42;0,25;0;0,02;0,02;0,01;0,01;0,02
E7- NUP37;1,5;0,31;0,39;0,74;0,16;0,02;0,56;0,02;0,05;2,28
E8- NUP54;0,7;0,46;0,22;0,45;0,14;0,09;0,44;0,04;0,59;0,24
E9- CETN2;0,86;0,25;0,66;0,39;0,07;0,01;0,67;0,18;0,02;0,21
E10- PCID2;0,83;0,17;0,76;1,04;0,43;0,02;0,59;0,26;0,85;1,08
E11- UBL5;0,72;0,53;0,34;0,39;0,23;0,35;0,21;0,04;0;0,03
E12- ACE2 (esterno);0,28;0,13;0,06;0,2;0,11;0;0;0,09;0;0,51
F1- NT (esterno);0,63;0,99;0,79;1,12;1,46;0,92;0,87;1,9;0,99;1
F2- HSBP1;1,68;0,97;1,37;1,59;2,61;1,85;1,98;1,25;1,74;3,03
F3- TSG101;1,78;1,28;1,36;1,44;1,97;0,59;1,27;1,38;1,24;2,78
F4- SGCB;1,09;0,8;1;0,34;0,76;0,19;1,29;0,21;0,09;0,46
F5- NT;1,26;1;0,91;0,87;1,06;0,05;1,23;0,33;0,18;0,33
F6- AGO1;1,61;0,67;0,76;0,81;0;0,39;0,04;0,12;0,1;0,01
F7- FMR1;1,54;0,6;0,88;0,73;0,04;0,29;0,85;0,02;0,03;0,22
F8- FXR1;1,79;1,1;1,25;1,2;0,51;1;1,13;0,03;0,03;0,22
F9- MSI2;1,8;0,85;1,3;1,04;0,78;0,63;1,41;0,89;0,25;0,01
F10- PRRC1;1,83;1,17;1,32;1,32;0,48;0,08;0,46;0,28;0,49;0,86
F11- ACE2;0,33;0,03;0,04;0,04;0,24;0;0,01;0;0,05;0
F12- ACE2 (esterno);0,41;0,11;0,23;0,07;0,15;0,51;0,08;0,01;0,01;0
G1- NT (esterno);1,38;1,06;0,72;1,01;1,82;1,11;0,71;1,3;1,94;0,77
G2- TDRD3;1,85;1,32;1,07;1,37;1,73;1,04;1,43;1,4;2,56;1,75
G3- ERGIC3;1,44;1,27;1,18;1,43;1,64;0,88;0,91;1,11;1,52;1,1
G4- GOLPH3L;1,57;1,29;1,35;1,35;2,64;1,52;1,31;1,88;1,69;2,93
G5- VPS39;0,92;0,75;0,52;0,33;0,84;0,67;0,21;1,6;0,2;0,56
G6- MLLT11;1,82;1,11;1,34;1,22;0,3;1,82;1,28;1,06;1,32;0,48
G7- SNRNP27;1,59;0,67;0,52;1,01;0,2;0,63;0,7;0,69;0,73;0,78
G8- TMED2;0,37;0,27;0,27;0,12;0;0;0;0,01;0,04;0
