T: T: Genes,C: Winner INF,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
RPL28,Translation,-1.29848,-1.6852,-1.98188,-1.78862,-1.85562,-1.30735,-1.36792,1.70841,-3.3344,-1.37499,-1.75278,-1.27008,P46779;P46779-2;P46779-3;P46779-4;P46779-5;H0YLP6;H0YMF4;H0YKD8,RL28_HUMAN,P46779;P46779-3,60S ribosomal protein L28
RPL17,Translation,-1.23868,-1.82914,-2.09829,-1.75476,-1.86273,-1.25842,-1.26074,1.7043,-3.34164,-1.35782,-1.85507,-1.2686,P18621;J3KRB3;J3KRX5;J3KSJ0;P18621-3;A0A087WWH0;A0A087WXM6;J3QQT2;A0A087WY81;J3QS96;A0A0A6YYL6,RL17_HUMAN,P18621;P18621-3,60S ribosomal protein L17
RPL27A,Translation,-1.35919,-1.68641,-2.02327,-1.65,-1.52637,-1.34371,-0.957659,1.47956,-3.32756,-1.41945,-1.77394,-1.25204,P46776;E9PLL6,RL27A_HUMAN,P46776,60S ribosomal protein L27a
RPL30,Translation,-1.31207,-1.65709,-2.08118,-1.71538,-1.64878,-1.29082,-1.1622,1.50656,-3.31063,-1.40847,-1.81768,-1.2302,P62888;A0A0B4J213;E5RI99;A0A0C4DH44,RL30_HUMAN,P62888,60S ribosomal protein L30
RPL35,Translation,-1.28098,-1.66503,-2.04335,-1.72788,-1.67744,-1.36958,-1.1963,1.66186,-3.28099,-1.41304,-1.78297,-1.23703,P42766;F2Z388,RL35_HUMAN,P42766,60S ribosomal protein L35
RPL11,Translation,-1.3786,-1.53122,-2.02104,-1.61391,-1.56746,-1.35772,-1.19324,1.5243,-3.33316,-1.38216,-1.68617,-1.24171,P62913;Q5VVC8;P62913-2,RL11_HUMAN,P62913,60S ribosomal protein L11
RPL10A,Translation,-1.3503,-1.55666,-2.01806,-1.59246,-1.49692,-1.42645,-1.13146,1.62879,-3.28157,-1.3847,-1.70145,-1.22966,P62906,RL10A_HUMAN,P62906,60S ribosomal protein L10a
RPL5,Translation,-1.33404,-1.56013,-1.94362,-1.66448,-1.58007,-1.43606,-1.20872,1.63087,-3.31336,-1.43186,-1.72051,-1.25276,P46777;A0A2R8Y6J3,RL5_HUMAN,P46777,60S ribosomal protein L5
RPL9P9,Translation,-1.34651,-1.70448,-2.00972,-1.59089,-1.65274,-1.34069,-1.2765,1.78248,-3.34115,-1.33032,-1.66812,-1.25607,P32969;D6RAN4,RL9_HUMAN,P32969,60S ribosomal protein L9
RPL7A,Translation,-1.33814,-1.68214,-1.95735,-1.62613,-1.61474,-1.3737,-1.26264,1.73282,-3.32831,-1.40424,-1.67866,-1.25714,P62424;Q5T8U3,RL7A_HUMAN,P62424,60S ribosomal protein L7a
RPL12,Translation,-1.36526,-1.69312,-1.9575,-1.62669,-1.6337,-1.35604,-1.25901,1.73843,-3.34402,-1.39052,-1.68342,-1.26256,P30050;P30050-2,RL12_HUMAN,P30050,60S ribosomal protein L12
RPL10,Translation,-1.45332,-1.63299,-1.85796,-1.67105,-1.64338,-1.32628,-1.23579,1.61242,-3.36145,-1.45155,-1.67684,-1.27786,P27635;F8W7C6,RL10_HUMAN,P27635,60S ribosomal protein L10
RPL6,Translation,-1.41876,-1.71042,-1.64265,-1.65383,-1.60573,-1.45735,-1.38723,1.91201,-3.3784,-1.50064,-1.63658,-1.31233,Q02878;F8VZ45;F8VR69;U3KQR5,RL6_HUMAN,Q02878,60S ribosomal protein L6
RPS29,Translation,-1.44289,-1.65955,-1.77606,-1.61586,-1.60463,-1.428,-1.36577,1.89703,-3.36735,-1.43707,-1.62448,-1.28971,P62273;A0A2R8Y851;A0A2R8Y6P7;P62273-2;A0A087WTT6,RS29_HUMAN,P62273,40S ribosomal protein S29
RPL15,Translation,-1.41456,-1.52719,-1.79778,-1.65582,-1.58825,-1.49809,-1.26965,1.74301,-3.34226,-1.46189,-1.66857,-1.28193,P61313;A0A2R8Y738;E7EX53;E7EQV9;A0A2R8YEM3;P61313-2;E7ENU7,RL15_HUMAN,P61313,60S ribosomal protein L15
EIF2AK2,Translation,-1.31266,-1.51524,-1.75878,-1.71581,-1.64616,-1.56569,-1.34165,1.82892,-3.28817,-1.53545,-1.62023,-1.27157,P19525;A0A7P0TBA9;A0A7P0TAL9;P19525-2;A0A7P0Z4M0,E2AK2_HUMAN,P19525,"Interferon-induced, double-stranded RNA-activated protein kinase"
RPL14,Translation,-1.36374,-1.99282,-1.81302,-1.62679,-1.60528,-1.27125,-1.24255,1.92887,-3.32742,-1.46599,-1.67502,-1.27967,P50914;E7EPB3,RL14_HUMAN,P50914,60S ribosomal protein L14
PRKRA,Translation,-1.21174,-1.83208,-1.82866,-1.57318,-1.33037,-1.61699,-1.31765,1.99519,-3.35601,-1.40589,-1.6124,-1.29888,O75569;O75569-2;O75569-3;F8WEG8;C9JMM3;G5E9Q4;A0A7I2YQ87;A0A7I2V2P4;A0A7I2V315;A0A7I2V3L6;A0A7I2V593;A0A7I2V5C2;A0A7I2V5H3,PRKRA_HUMAN,O75569;O75569-2,Interferon-inducible double-stranded RNA-dependent protein kinase activator A
SRPK2,Translation,-1.47812,-0.634288,-1.12713,-1.72108,-1.69901,-1.64753,-1.58693,1.17476,-3.27185,-1.80815,-1.75875,-1.31043,P78362;P78362-2;F8WBW4;H7C5L6;H7C521,SRPK2_HUMAN,P78362-2,"Isoform of P78362, Isoform 2 of SRSF protein kinase 2"
ABCE1,Translation,-1.16977,-1.012,-1.5774,-1.74874,-1.707,-1.58506,-1.44627,1.04211,-3.32309,-1.71251,-1.62164,-1.29206,P61221;D6RGF4;D6R9I9;H0Y990,ABCE1_HUMAN,P61221,ATP-binding cassette sub-family E member 1
XRN1,Translation,-1.26257,-0.843101,-1.38309,-1.92621,-1.49099,-1.82079,-1.92569,0.905201,-3.59105,-1.69365,-1.68713,-1.45935,Q8IZH2;H7C5E4;Q8IZH2-2,XRN1_HUMAN,Q8IZH2-2,"Isoform of Q8IZH2, Isoform 2 of 5'-3' exoribonuclease 1"
TRIP4,Translation,-1.01659,-1.36803,-1.78072,-1.49559,-1.57915,-1.79389,-1.48078,1.45379,-3.52194,-1.77514,-1.88588,-1.44848,Q15650;H0YL91,TRIP4_HUMAN,Q15650,Activating signal cointegrator 1
EIF3B,Translation,-1.1451,-1.608,-1.46934,-1.52415,-1.5655,-1.88964,-1.4537,1.49449,-3.42837,-1.93764,-1.42707,-1.5073,P55884;P55884-2;C9JZG1;C9JQN7,EIF3B_HUMAN,P55884;P55884-2,Eukaryotic translation initiation factor 3 subunit B
EIF3A,Translation,-1.09891,-1.39105,-1.46448,-1.46759,-1.26286,-2.03458,-1.52342,1.17919,-3.40592,-2.01253,-1.53004,-1.52553,Q14152;Q14152-2,EIF3A_HUMAN,Q14152,Eukaryotic translation initiation factor 3 subunit A
EIF3F,Translation,-1.25423,-1.34547,-1.64532,-1.53231,-1.26469,-2.08672,-1.41605,1.30943,-3.42187,-1.90456,-1.33674,-1.4915,O00303;H0YDT6,EIF3F_HUMAN,O00303,Eukaryotic translation initiation factor 3 subunit F
EEF2,Cytoplasm,-2.41652,-2.66524,-2.12608,-1.47754,0.913308,-1.23657,-0.492934,-0.489786,-3.51594,-1.63177,-0.982646,-1.21621,P13639,EF2_HUMAN,P13639,Elongation factor 2
NACA,Cytoplasm,-1.9709,-2.14069,-2.06629,-1.6726,0.847288,-0.894396,-1.0738,-0.515641,-3.51564,-1.68714,-1.42906,-1.27801,E9PAV3;H0YHX9;F8VZJ2;F8W0W4;F8VNW4;E9PAV3-2;Q13765;A0A7I2V2K5;A0A7I2V473,NACAM_HUMAN,E9PAV3,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"
LAMTOR5,Golgi apparatus,-1.64048,-2.12621,-0.874952,-1.69009,-1.42138,-1.34838,-1.74938,-1.86352,-2.57033,-3.27387,0.467924,-1.09552,O43504;R4GMU8;A0A8Z5A536;E9PLX3,LTOR5_HUMAN,O43504,Ragulator complex protein LAMTOR5
PPT2,PM,-2.22467,-1.81175,1.17017,-1.57665,-1.64428,-1.53172,-1.3005,-2.09402,-2.96647,-2.05846,-0.927021,-1.39607,Q9UMR5;A2ABN7;G8JLL2;A0A140T9Y1;A0A140T8X7;A0A024RCQ8;Q9UMR5-2;Q9UMR5-3;A0A0G2JK02;A0A0G2JK07;A0A0G2JLL3;A0A0G2JKR3;A0A0G2JLA3;A0A0G2JID8;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JH76,PPT2_HUMAN,Q9UMR5;Q9UMR5-2;Q9UMR5-3,Lysosomal thioesterase PPT2
IFITM2;IFITM3,PM,-0.761819,-1.6515,0.812003,-1.6044,-1.8138,-1.02838,-1.86718,-1.88178,-3.1229,-2.9211,-0.727553,-1.41475,Q01628;Q01629;P13164;A0A7P0T9Q3;A0A7P0T8E0;A0A7P0T953;E9PS44;E9PQN9;H7BYV1,IFM2_HUMAN;IFM3_HUMAN,Q01628;Q01629,Interferon-induced transmembrane protein 3
LAMTOR3,PM,-1.06442,-2.8557,0.0300065,-1.31669,-1.27993,-1.32121,-1.43329,-1.55817,-1.57112,-3.04361,-0.741069,-1.05705,Q9UHA4,LTOR3_HUMAN,Q9UHA4,Ragulator complex protein LAMTOR3
LAMTOR4,PM,-1.08625,-2.34102,0.8686,-1.44265,-1.3175,-1.18969,-1.54094,-1.59143,-1.17329,-3.11584,-2.04965,-1.15375,Q0VGL1;A0A087WT92;A0A087WVU0,LTOR4_HUMAN,Q0VGL1,Ragulator complex protein LAMTOR4
GLMP,PM,-1.00638,-2.3156,0.825067,-1.70377,-1.48422,-1.47011,-1.8348,-1.81175,-1.67003,-2.87214,-1.93611,-1.09576,Q8WWB7;V9GYX8;A0A087X0W3,GLMP_HUMAN,Q8WWB7,Glycosylated lysosomal membrane protein
PSAP,PM,-0.504136,-2.95127,0.440838,-1.30138,-1.24739,-1.51459,-1.79111,-1.54309,-1.35767,-2.86752,-1.32512,-1.19507,P07602;P07602-2;P07602-3,SAP_HUMAN,P07602,Prosaposin
NPC2,PM,-0.900201,-2.43939,0.441244,-1.10145,-1.22547,-1.26097,-1.76998,-1.52524,-2.42691,-3.68513,-2.00115,-1.1061,P61916;J3KMY5;H0YIZ1;P61916-2;G3V2V8;G3V3D1;G3V3E8;E7EMS2,NPC2_HUMAN,P61916,NPC intracellular cholesterol transporter 2
PLD3,PM,-1.06344,-1.49878,0.218102,-1.33347,-1.43482,-1.14632,-1.60344,-1.56644,-0.764267,-3.0712,-2.0602,-1.0664,Q8IV08;A0A8V8TRD4;A0A8V8TPY8;A0A8V8TQH6,PLD3_HUMAN,Q8IV08,5'-3' exonuclease PLD3
PPT1,PM,-1.10353,-1.75441,0.243338,-1.12222,-1.0929,-1.09848,-1.53766,-1.3748,-0.897605,-3.00639,-1.83256,-1.11105,P50897;A0A286YFL8;A0A286YFF7;A0A286YFE3;Q5T0S4;E9PK48;A0A2C9F2P4,PPT1_HUMAN,P50897,Palmitoyl-protein thioesterase 1
CTSK;CTSL;CTSV,ER,-1.71071,-1.58297,-2.08731,0.773967,-1.40783,-2.46779,-1.42582,-1.26716,0.642385,-1.75099,-2.61959,-1.26224,P43235;O60911;P07711;Q5NE16;A0A7P0T983;Q5T8F0;A0A7P0Z415;P07711-3;A0A7I2YQA2;A0A7I2YQB5;A0A7I2YQX0;Q5QP40;A0A7I2V2H7;A0A7I2V2M6;A0A7I2V354;A0A7I2V4B6;A0A7I2V4B1;A0A7I2V5M3;A0A7I2V5Y6;A0A7I2V5Y9,CATK_HUMAN;CATL1_HUMAN;CATL2_HUMAN,O60911;P07711;P43235,Cathepsin L2
NAGLU,Lysosome,-1.33661,-2.13808,-1.75519,-2.2486,-1.52981,-1.65968,-1.50136,-1.51587,0.296739,-0.857235,-0.222413,-1.2604,P54802;K7ENX5,ANAG_HUMAN,P54802,Alpha-N-acetylglucosaminidase
SIAE,Lysosome,-1.33906,-0.873895,-2.98811,-1.22225,-1.02421,-1.26468,-0.83131,-1.47235,1.174,-1.35022,-0.832169,-1.02095,Q9HAT2;Q9HAT2-2,SIAE_HUMAN,Q9HAT2,Sialate O-acetylesterase
NEU1,Lysosome,-1.1436,-1.49714,-1.70962,-1.24246,-1.3309,-1.39024,-1.1813,-1.48648,0.561352,-1.85856,-1.3503,-1.0409,Q99519;E9PIF4,NEUR1_HUMAN,Q99519,Sialidase-1
CTSB,Lysosome,-1.20535,-1.39882,-1.89993,-1.25766,-1.31803,-1.22563,-1.27138,-1.45112,0.935313,-1.86501,-1.24706,-1.05464,P07858;A0A7P0NGZ6;E9PCB3;E9PS78;E9PSG5;E9PQM1;E9PR21;E9PNL5;E9PLY3;E9PKQ7;E9PHZ5;A0A7I2YQK9;A0A7I2V2J1;A0A7I2V302;A0A7I2V440;A0A7I2V4S6;A0A7I2V4Z9,CATB_HUMAN,P07858,Cathepsin B
SGSH,Lysosome,-1.29629,-1.88595,-1.17658,-1.60179,-1.45798,-1.81333,-1.34517,-1.39033,0.917509,-1.37415,-1.80486,-1.14629,P51688,SPHM_HUMAN,P51688,N-sulphoglucosamine sulphohydrolase
GGH,Lysosome,-1.21933,-1.77644,-1.28646,-1.37887,-1.39682,-1.55374,-1.27965,-1.3654,0.774189,-1.70839,-1.68418,-1.11474,Q92820;A0A7I2YQQ3;A0A7I2V5P2;A0A7I2V5X9,GGH_HUMAN,Q92820,Gamma-glutamyl hydrolase
GNS,Lysosome,-1.27448,-1.93018,-1.47581,-1.31574,-1.45728,-1.61878,-1.28086,-1.34009,1.10765,-1.59056,-1.57907,-1.07403,P15586;F6S8M0;H7C3P4;P15586-2;F5H4C6,GNS_HUMAN,P15586,N-acetylglucosamine-6-sulfatase
PLBD2,Lysosome,-1.18134,-1.77142,-1.30566,-1.2611,-1.36012,-1.23813,-1.36245,-1.35651,0.78715,-2.13063,-1.43847,-1.05871,Q8NHP8;Q8NHP8-2,PLBL2_HUMAN,Q8NHP8,Putative phospholipase B-like 2
PLA2G15,Lysosome,-1.18392,-1.47113,-1.3441,-1.45884,-1.52233,-1.38239,-1.34233,-1.45543,1.07991,-1.89846,-1.53846,-1.07964,Q8NCC3;H3BMU8;Q8NCC3-2,PAG15_HUMAN,Q8NCC3,Phospholipase A2 group XV
GLB1,Lysosome,-1.19205,-1.52424,-1.22202,-1.46829,-1.47678,-1.38097,-1.32547,-1.3843,1.05676,-1.96427,-1.53351,-1.08175,P16278;E7EQ29;F8WF40;C9JWX1;C9JF15;P16278-2;P16278-3,BGAL_HUMAN,P16278;P16278-3,Beta-galactosidase
HEXA,Lysosome,-1.17732,-1.47669,-1.10975,-1.39126,-1.41997,-1.35112,-1.36626,-1.3961,0.726895,-2.08758,-1.7099,-1.07125,P06865;H3BU85;H3BTD4;H3BS10;H3BP20;A0A804HIQ5;A0A804HJ97;A0A804HIU3;A0A804HIC8;A0A804HLJ5;A0A804HKX5,HEXA_HUMAN,P06865,Beta-hexosaminidase subunit alpha
HEXB,Lysosome,-1.21562,-1.40049,-1.62251,-1.2404,-1.35545,-1.48072,-1.09843,-1.39264,1.18541,-1.73867,-1.75644,-1.05363,P07686;H0YA83;H0Y9B6;Q5URX0,HEXB_HUMAN,P07686,Beta-hexosaminidase subunit beta
GLA,Lysosome,-1.11874,-1.66274,-1.4821,-1.02116,-1.25875,-1.36,-1.25459,-1.31326,1.01773,-2.09586,-1.83568,-0.992189,P06280;A0A6Q8PFA9;A0A6Q8PGG0;A0A3B3IUC4,AGAL_HUMAN,P06280,Alpha-galactosidase A
CTBS,Lysosome,-1.10721,-1.92309,-1.03625,-0.999252,-1.35432,-1.31928,-1.27814,-1.24035,1.20097,-2.18853,-2.43769,-1.00699,Q01459,DIAC_HUMAN,Q01459,Di-N-acetylchitobiase
LIPA,Lysosome,-1.0194,-1.33094,-0.87264,-1.12365,-1.27455,-1.33165,-1.11767,-1.42859,0.365665,-2.39661,-2.01937,-1.06556,P38571;A0A0A0MT32;P38571-2,LICH_HUMAN,P38571;P38571-2,Lysosomal acid lipase/cholesteryl ester hydrolase
GALNS,Lysosome,-1.106,-1.18984,-1.45241,-1.00382,-1.18215,-1.31853,-1.18909,-1.41579,0.479936,-2.17571,-1.95889,-1.06016,P34059;H3BP66,GALNS_HUMAN,P34059,N-acetylgalactosamine-6-sulfatase
DPP7,Lysosome,-1.1361,-1.33571,-1.00676,-1.13503,-1.28171,-1.6925,-1.09666,-1.26972,0.857447,-1.95128,-2.46867,-1.20268,Q9UHL4;R4GMR2,DPP2_HUMAN,Q9UHL4,Dipeptidyl peptidase 2
RNASET2,Lysosome,-1.14684,-1.43187,-0.988285,-1.2289,-1.3501,-1.41505,-1.16949,-1.39449,0.796317,-2.07709,-2.11297,-1.08758,O00584;D6REQ6;D6RHI9;A0A804HJZ7;A0A804HKZ2;A0A087WZM2,RNT2_HUMAN,O00584,Ribonuclease T2
SCPEP1,Lysosome,-1.29281,-1.95588,-1.93478,-0.944039,-1.39284,-1.87048,-1.17719,-1.30195,0.925016,-1.31063,-1.5089,-1.06856,Q9HB40;Q9HB40-2,RISC_HUMAN,Q9HB40,Retinoid-inducible serine carboxypeptidase
CTSC,Lysosome,-1.2257,-2.05512,-1.79167,-1.04017,-1.37113,-1.69087,-1.24564,-1.362,0.675099,-1.55691,-1.40343,-1.02851,P53634;A0A7I2YQT5;A0A7I2V6E3;A0A7I2V2Q8;A0A7I2V466,CATC_HUMAN,P53634,Dipeptidyl peptidase 1
NAGA,Lysosome,-1.37144,-1.95527,-2.31228,-1.33141,-1.40066,-1.66632,-1.30073,-1.30746,1.31785,-0.994505,-1.17588,-1.06675,P17050,NAGAB_HUMAN,P17050,Alpha-N-acetylgalactosaminidase
GAA,Lysosome,-1.36793,-2.01585,-2.11118,-1.30738,-1.41825,-1.61407,-1.35505,-1.30107,1.30198,-1.2133,-1.41377,-1.08146,P10253,LYAG_HUMAN,P10253,Lysosomal alpha-glucosidase
ARSB,Lysosome,-1.32599,-1.78347,-1.71211,-1.21632,-1.42645,-1.81885,-1.15538,-1.31052,1.36336,-1.31618,-1.8557,-1.03381,P15848;A0A2U3U034;P15848-2,ARSB_HUMAN,P15848,Arylsulfatase B
MAN2B1,Lysosome,-1.30948,-1.58683,-1.88949,-1.28614,-1.41494,-1.55773,-1.18034,-1.3392,1.50863,-1.44217,-1.5601,-1.05866,O00754;O00754-2,MA2B1_HUMAN,O00754;O00754-2,Lysosomal alpha-mannosidase
MANBA,Lysosome,-1.40496,-1.57781,-1.4665,-1.96174,-1.48051,-1.73301,-1.35517,-1.36399,1.41153,-0.966347,-1.66407,-1.15066,O00462;A0A2R8Y524;A0A2R8YEC9;E9PFW2,MANBA_HUMAN,O00462,Beta-mannosidase
PRCP,Lysosome,-1.21799,-1.90584,-0.670566,-1.54913,-1.41626,-1.73884,-1.34512,-1.39253,0.634516,-1.8073,-1.91218,-1.1564,P42785;B7Z7Q6;A0A7P0TB23;P42785-2;E9PQB5;E9PNF7;E9PNJ1;E9PL49;E9PL85;E9PLY4;E9PKN6,PCP_HUMAN,P42785,Lysosomal Pro-X carboxypeptidase
CTSZ,Lysosome,-1.26298,-2.1342,-0.199301,-1.76214,-1.54739,-1.59487,-1.47762,-1.43376,0.594056,-1.97114,-1.8282,-1.15358,Q9UBR2;A0A7P0T8I6;A0A7P0T989,CATZ_HUMAN,Q9UBR2,Cathepsin Z
ARSA,Lysosome,-1.42662,-2.47193,-0.709551,-1.48913,-1.41062,-1.94137,-1.48147,-1.43575,0.49488,-1.49683,-1.7821,-1.17745,P15289;A0A0C4DFZ2;P15289-2,ARSA_HUMAN,P15289,Arylsulfatase A
CTSA,Lysosome,-1.22949,-2.00265,-1.21017,-1.11457,-1.34054,-1.84433,-1.29314,-1.39118,0.310131,-1.69859,-1.8001,-1.18015,P10619;P10619-2;X6R8A1;X6R5C5;A0A7I2V4K5,PPGB_HUMAN,P10619;P10619-2,Lysosomal protective protein
GUSB,Lysosome,-1.69147,-2.17723,-0.338891,-1.45291,-1.53923,-1.78687,-1.95103,-1.57977,0.0570043,-1.59649,-1.12471,-1.28075,P08236;P08236-2;P08236-3,BGLR_HUMAN,P08236;P08236-2;P08236-3,Beta-glucuronidase
ASAH1,Lysosome,-1.23364,-2.76791,-1.29191,-1.35139,-1.45,-1.58361,-1.41063,-1.37497,0.0767911,-1.8391,-0.801993,-1.10126,Q13510;A0A1B0GUW4;A0A1B0GV06;A0A1B0GUE3;A0A1B0GUG1;A0A1B0GUH5;A0A1B0GTZ5;A0A1B0GUA4;A0A1B0GTM3;A0A1B0GTP7;A0A1B0GW68;E7EMM4;Q13510-2;Q13510-3,ASAH1_HUMAN,Q13510;Q13510-2,Acid ceramidase
ACP2,Lysosome,-1.07235,-1.86367,-1.29389,-1.19453,-1.40857,-1.35932,-1.37538,-1.48247,0.27966,-2.25494,-1.07932,-1.0403,P11117;B7Z7D2;A0A5F9ZHR7;E9PQY3;E9PHY0,PPAL_HUMAN,P11117,Lysosomal acid phosphatase
DNASE2,Lysosome,-1.14719,-1.85521,-0.526808,-1.81476,-1.56983,-1.37233,-1.51286,-1.55162,0.20047,-2.17142,-1.2519,-1.17763,O00115;O00115-2;A0A8V8TNK3;K7ENE5,DNS2A_HUMAN,O00115;O00115-2,Deoxyribonuclease-2-alpha
ACOX3,Nucleus,-1.57333,-0.441385,-3.33739,-1.0269,-1.65866,-0.879052,0.0653133,-2.26237,-3.26754,-2.66567,-1.14314,-0.945497,O15254;O15254-2,ACOX3_HUMAN,O15254,Peroxisomal acyl-coenzyme A oxidase 3
ACOX2,Lysosome,-1.54954,-2.17267,-2.24244,-1.4104,-1.43019,-2.19624,-1.52414,-1.50206,1.10476,-0.542801,-1.60492,-1.29282,Q99424;C9J0G0;H7C4Y2,ACOX2_HUMAN,Q99424,Peroxisomal acyl-coenzyme A oxidase 2
ABCD3,Peroxisome,-1.30788,-2.43386,-2.10034,-0.667795,-1.29614,-3.2902,-1.98694,-1.51757,-0.787852,0.00762358,-2.03553,-1.24249,P28288;A0A3B3ITW3;P28288-2,ABCD3_HUMAN,P28288,ATP-binding cassette sub-family D member 3
CAT,Peroxisome,-1.31203,-2.58064,-2.62338,-0.75348,-1.25899,-2.80096,-2.00728,-1.44296,-1.21961,0.273417,-1.25569,-1.08209,P04040,CATA_HUMAN,P04040,Catalase
LRBA,protein-complex,-2.29627,1.51622,-1.96694,-1.20607,-1.32243,-2.37857,-1.58645,-2.22059,-3.52479,-1.67514,-1.44076,-1.46155,P50851;P50851-2;A0A494BZW2;E9PEM5;A0A494C1L5;A0A8V8TM79,LRBA_HUMAN,P50851-2,"Isoform of P50851, Isoform 2 of Lipopolysaccharide-responsive and beige-like anchor protein"
GNPTG,Golgi apparatus,-1.88852,-1.59709,-1.27732,-2.02901,-0.624761,-0.511288,-1.19824,0.238782,-3.76453,-1.69884,1.01966,-0.975196,Q9UJJ9;H0YEA7;A0A804HI41,GNPTG_HUMAN,Q9UJJ9,N-acetylglucosamine-1-phosphotransferase subunit gamma
NAA25,Translation,-1.35621,-1.91357,-2.17218,-1.49683,-1.64531,-1.36947,-0.908267,1.47228,-3.38863,-1.69042,-1.35776,-1.28201,Q14CX7;Q14CX7-2,NAA25_HUMAN,Q14CX7,"N-alpha-acetyltransferase 25, NatB auxiliary subunit"
GOLGA1,Lysosome,-2.17229,-1.59772,-0.345828,-0.937475,-1.53322,-1.07329,-2.10369,-1.63383,0.743899,-2.06891,-1.17426,-1.42657,Q92805,GOGA1_HUMAN,Q92805,Golgin subfamily A member 1
C17orf75,endosome-vesicle,1.42816,-1.39495,-4.14966,-1.43041,-2.5553,-1.34593,-0.944404,-1.33622,-2.65991,-2.25682,-1.57785,-1.47047,Q9HAS0;J9JIC5;J3KRR1;K7EII1;K7EIQ2;K7ERX0,NJMU_HUMAN,Q9HAS0,Protein Njmu-R1
WDR45B,endosome-vesicle,0.811763,-1.37388,-2.13561,-1.87253,-1.88127,-1.63706,-1.14291,-1.00912,-1.00552,-2.46014,-1.74956,-1.20844,Q5MNZ6;I3L4S6,WIPI3_HUMAN,Q5MNZ6,WD repeat domain phosphoinositide-interacting protein 3
GOSR2,endosome-vesicle,0.275797,-2.38118,-2.66443,-1.04477,-2.03677,-1.37496,-1.34553,-0.998969,-2.60335,-3.26737,-0.569914,-0.967197,O14653;A0A1X7SBU8;O14653-2;O14653-3;A0A1W2PPW8;A0A1W2PPP5;A0A1W2PQ06;A0A1W2PQ38;A0A1W2PQ77;A0A1W2PPG1;A0A1W2PPG5;A0A1W2PPJ0;A0A1W2PNV3;A0A1W2PR23;A0A1W2PQM3;A0A1W2PQP2;A0A1W2PR02;A0A1W2PQE0;A0A1W2PRV0;A0A1W2PS81;A0A1W2PRL0;A0A1W2PS12;A0A1W2PRC2;A0A1W2PRD0;A0A1W2PRE6;A0A1W2PRP7;I3NI02;I3L4Z6;I3L1K7;I3L0K1;E7EQ34,GOSR2_HUMAN,O14653;O14653-2,Golgi SNAP receptor complex member 2
GLCE,protein-complex,-0.777774,0.137479,-1.75802,-1.30117,-1.6672,-1.60857,-1.81771,-2.32813,-2.86996,-2.92238,-1.00651,-1.13362,O94923;H0YNP1,GLCE_HUMAN,O94923,D-glucuronyl C5-epimerase
GOLGA2;MTPAP,Golgi apparatus,-1.73082,-1.14415,-1.6509,-1.52763,-0.146611,-1.75203,-1.52348,-2.46143,-1.57867,-2.00684,0.136345,-1.46717,Q08379;Q9NVV4-2;Q08379-2;A0A8I5QJQ7;A0A6Q8KRG2;B7ZC06;A0A1W2PQY5;A0A8J9BZL8;A0A8I5KNZ1;A0A8I5KT73;A0A8I5KZ68;A0A087WYC0,GOGA2_HUMAN;PAPD1_HUMAN,Q08379;Q9NVV4-2,Golgin subfamily A member 2
B4GALT1,Golgi apparatus,-1.3901,-1.87401,-1.27398,-2.07876,-0.401606,-1.18735,-1.63928,-1.46467,-2.71035,-2.43252,0.753834,-1.10791,P15291;Q86XA6;P15291-2,B4GT1_HUMAN,P15291;P15291-2,"Beta-1,4-galactosyltransferase 1"
GALNT7,Cytoplasm,-1.51978,-1.27133,-1.7483,-1.39237,0.187687,-1.48262,-1.14786,-2.32377,-4.02543,-1.77443,0.00833351,-1.43653,Q86SF2;H0YAK0;H0YAH3,GALT7_HUMAN,Q86SF2,N-acetylgalactosaminyltransferase 7
FAM3A,PM,-1.75382,-2.38362,0.443025,-1.45518,-1.20273,-1.53318,-1.75725,-2.06444,-4.33101,-1.6692,-0.789911,-1.23334,P98173;D3DWX8;P98173-2;P98173-3;A6QRH7;Q5HY75,FAM3A_HUMAN,P98173;P98173-3,Protein FAM3A
BLOC1S3,Cytoplasm,-1.83591,-1.22892,-1.57476,-1.77085,0.303731,-1.4342,-1.70282,-0.574354,-3.56523,-1.73189,-1.54836,-1.28322,Q6QNY0;K7EN58,BL1S3_HUMAN,Q6QNY0,Biogenesis of lysosome-related organelles complex 1 subunit 3
LRBA;NBEA,Cytoplasm,-1.34215,-1.41211,-2.79003,-1.99665,0.636718,-1.12668,-2.25938,-0.856998,-3.49356,-2.00991,-1.40781,-1.59208,P50851;Q8NFP9;A0A8I5QKR1;P50851-2;Q5T321;A0A0D9SF28;A0A494BZW2;E9PEM5;A0A494C1L5;A0A494C0R9;A0A8I5KSX3,LRBA_HUMAN;NBEA_HUMAN,P50851-2;Q8NFP9,"Isoform of P50851, Isoform 2 of Lipopolysaccharide-responsive and beige-like anchor protein"
