T: T: Genes,C: Winner INF,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
SNX3,endosome-vesicle,0.958744,-1.85854,-2.42606,-1.51801,0.0160988,-1.99699,-1.83585,-2.47333,-2.87034,-1.89474,-1.19295,-1.48854,O60493;O60493-3;O60493-4,SNX3_HUMAN,O60493,Sorting nexin-3
ZFYVE21,endosome-vesicle,0.324976,-2.1189,-2.68197,-1.39418,-0.23918,-1.73466,-2.21445,-1.79891,-2.55609,-2.48177,-1.62539,-1.35174,Q9BQ24;Q9BQ24-2,ZFY21_HUMAN,Q9BQ24;Q9BQ24-2,Zinc finger FYVE domain-containing protein 21
AP1M1,endosome-vesicle,0.177557,-1.442,-2.6265,-1.43652,-0.597719,-1.66309,-1.6444,-2.79828,-2.63095,-2.26724,-2.13676,-1.38614,Q9BXS5;Q9BXS5-2;K7EJL1;E7ENJ6,AP1M1_HUMAN,Q9BXS5;Q9BXS5-2,AP-1 complex subunit mu-1
ATP9A,Golgi apparatus,-0.829681,-1.48596,-1.31623,-1.52689,-1.11495,-1.03124,-1.19523,-1.7607,-2.04319,-2.64043,0.413168,-1.09801,O75110;O75110-2;A0A0A0MR22,ATP9A_HUMAN,O75110;O75110-2,Probable phospholipid-transporting ATPase IIA
ATP9A;ATP9B,endosome-vesicle,0.249269,-1.22017,-1.91499,-1.30721,-1.71939,-1.18259,-1.67493,-2.25711,-2.18425,-2.53061,-0.776223,-1.21835,O43861;O75110;O43861-2;O75110-2;A0A0A0MR22,ATP9A_HUMAN;ATP9B_HUMAN,O43861;O43861-2;O75110;O75110-2,Probable phospholipid-transporting ATPase IIB
ATP6V0D1,PM,-1.06579,-2.05387,1.08467,-1.19102,-1.20357,-1.10835,-1.56169,-1.48205,-1.35794,-3.34391,-2.35603,-1.05372,P61421;J3QL14;F5GYQ1,VA0D1_HUMAN,P61421,V-type proton ATPase subunit d 1
PI4K2A,PM,-0.702913,-2.58837,0.518212,-1.49292,-1.03267,-1.45011,-1.60418,-1.0094,-1.63421,-3.24064,-1.31262,-1.29463,Q9BTU6;E9PAM4,P4K2A_HUMAN,Q9BTU6,Phosphatidylinositol 4-kinase type 2-alpha
STEAP3,PM,-0.977331,-2.52897,1.00996,-1.2458,-1.25682,-1.30739,-1.48778,-1.32827,-1.59435,-3.37269,-1.51953,-1.16392,Q658P3;Q658P3-2;Q658P3-3;Q658P3-4;B8ZZX6,STEA3_HUMAN,Q658P3,Metalloreductase STEAP3
TPBG,PM,-1.07285,-2.68368,1.16637,-1.21516,-1.11552,-1.21576,-1.62895,-1.51806,-1.94836,-3.42593,-1.57517,-1.02311,Q13641,TPBG_HUMAN,Q13641,Trophoblast glycoprotein
VPS39,PM,-1.15305,-2.15725,0.530598,-1.4429,-1.11356,-1.09367,-1.4925,-1.14414,-2.42931,-3.46101,-1.27428,-1.08295,Q96JC1;Q96JC1-2,VPS39_HUMAN,Q96JC1-2,"Isoform of Q96JC1, Isoform 2 of Vam6/Vps39-like protein"
TFRC,PM,-1.02267,-2.41936,0.707949,-1.33195,-1.13375,-1.20088,-1.38596,-1.50242,-2.02618,-3.48666,-1.23291,-1.0685,P02786;G3V0E5;A0A8V8TM41;A0A8V8TM46;A0A8V8TN37;A0A8V8TLM6;A0A8V8TLN0,TFR1_HUMAN,P02786,Transferrin receptor protein 1
STX7,PM,-0.930603,-1.98921,0.40729,-1.25418,-1.17936,-1.18047,-1.48633,-1.5846,-1.97637,-3.67239,-1.64614,-1.01798,O15400;O15400-2,STX7_HUMAN,O15400;O15400-2,Syntaxin-7
